,city,lat,lon,max temp,humidity,cloudiness,wind speed,date
287,Northam,51.03,-4.22,54.0,86,100,3.0,1591750636
288,Mirny,62.54,113.96,41.0,100,90,8.95,1591750637
289,Hoa Binh,20.81,105.34,86.0,79,75,8.05,1591750637
290,Brønnøysund,65.46,12.2,46.4,87,0,5.82,1591750637
291,Clyde River,70.47,-68.59,33.8,93,90,19.46,1591750637
292,Srednekolymsk,67.45,153.68,73.58,33,100,2.46,1591750637
293,Dakar,14.69,-17.44,77.0,94,40,4.7,1591750637
294,São Filipe,14.9,-24.5,74.75,84,26,4.68,1591750637
295,Yatou,37.15,122.38,69.17,91,100,6.78,1591750637
296,Borovskoy,53.8,64.15,67.96,67,60,4.61,1591750637
297,Dingle,11.0,122.67,85.15,68,100,3.06,1591750638
298,Tupik,54.43,119.93,61.54,39,58,11.39,1591750638
299,Yārāda,17.65,83.27,78.8,94,75,2.24,1591750638
300,Pochutla,15.74,-96.47,84.2,74,75,12.75,1591750638
301,Dunedin,-45.87,170.5,54.27,55,0,5.1,1591750638
302,Palimbang,6.21,124.19,83.64,66,73,2.59,1591750638
303,Apostolove,47.66,33.71,62.6,72,0,2.24,1591750639
304,Ketchikan,55.34,-131.65,53.6,93,90,26.4,1591750639
305,Rosário Oeste,-14.84,-56.43,76.89,57,0,3.51,1591750639
306,Taksimo,56.34,114.88,58.91,47,43,5.21,1591750639
307,Levice,48.22,18.61,62.01,94,99,1.01,1591750639
308,Caravelas,-17.71,-39.25,71.87,94,0,3.83,1591750640
309,Polovinnoye,54.79,65.99,68.79,61,87,5.57,1591750640
310,São João da Barra,-21.64,-41.05,72.05,89,0,9.37,1591750640
311,Icod de los Vinos,28.37,-16.71,73.0,81,19,4.0,1591750640
312,Chingirlau,51.09,54.08,64.83,54,89,9.01,1591750640
313,Taoudenni,22.68,-3.98,94.01,26,0,12.57,1591750640
314,Karratha,-20.74,116.85,76.84,42,0,10.92,1591750390
315,Santa Vitória do Palmar,-33.52,-53.37,53.17,94,0,3.11,1591750641
316,Saldanha,-33.01,17.94,59.0,87,38,21.92,1591750641
317,Strezhevoy,60.73,77.59,64.4,88,100,4.47,1591750641
318,Sundsvall,62.39,17.31,46.0,87,0,5.82,1591750641
319,Madanapalle,13.55,78.5,76.14,72,100,13.2,1591750568
320,Airai,-8.93,125.41,66.74,74,35,5.12,1591750641
321,Tamiahua,21.27,-97.45,84.0,86,0,6.98,1591750642
322,Lebyazh'ye,55.27,66.49,67.3,67,12,6.11,1591750642
323,São Miguel,-5.47,-35.37,75.2,100,75,3.36,1591750642
324,Porto Santo,33.07,-16.34,64.4,72,40,10.29,1591750643
325,Ostrovnoy,68.05,39.51,41.59,85,100,8.63,1591750643
326,Miraflores,19.22,-98.81,69.8,46,75,6.93,1591750643
327,Formosa,-26.18,-58.18,71.6,94,90,5.82,1591750643
328,Sept-Îles,50.2,-66.38,50.0,59,20,4.7,1591750643
329,Philadelphia,39.95,-75.16,82.99,51,1,8.05,1591750574
330,Morón,-34.65,-58.62,55.0,100,0,1.12,1591750518
331,Abbeyfeale,52.38,-9.3,53.6,100,90,10.29,1591750644
332,Ixtapa,20.7,-105.2,82.4,74,75,12.75,1591750644
333,Sovetskiy,61.36,63.58,70.47,51,0,6.85,1591750644
334,Southbridge,42.08,-72.03,72.0,55,83,3.89,1591750644
335,Saint-Augustin,51.23,-58.65,43.61,75,100,1.3,1591750644
336,Betsiamites,48.94,-68.65,57.2,66,1,4.7,1591750644
337,Treinta y Tres,-33.23,-54.38,51.21,89,52,1.41,1591750645
338,Koson,39.04,65.58,68.0,40,0,2.24,1591750645
339,Kroya,-7.63,109.25,79.92,81,46,7.58,1591750559
340,Salalah,17.02,54.09,84.2,94,75,6.93,1591750645
341,Yangi Marg`ilon,40.43,71.72,66.2,63,75,4.7,1591750645
342,Yarkovo,57.4,67.08,66.15,66,0,4.7,1591750645
343,Bereda,43.27,-7.54,50.0,1,98,3.71,1591750645
344,Tuatapere,-46.13,167.68,55.0,80,73,8.01,1591750645
345,Shīeli,44.17,66.75,71.08,38,0,11.12,1591750646
346,Emba,48.83,58.14,70.09,37,19,11.03,1591750646
347,Morehead,37.27,-87.18,82.4,78,75,8.05,1591750646
348,Marquette,46.53,-87.63,78.8,41,5,8.05,1591750646
349,Repnoye,51.59,43.19,62.01,83,0,1.01,1591750646
350,Wabag,-5.48,143.7,66.76,70,81,3.04,1591750646
351,Talitsa,56.88,60.02,59.0,82,0,1.7,1591750646
352,Barkhan,29.9,69.53,81.07,42,0,5.7,1591750646
353,Tawao,4.25,117.89,75.2,94,40,3.36,1591750647
354,Saint-Pierre,-21.34,55.48,66.2,63,13,12.75,1591750647
355,Coquimbo,-29.95,-71.34,53.6,87,100,4.7,1591750647
356,Akdepe,42.06,59.38,68.0,42,0,6.93,1591750647
357,Petropavlovsk-Kamchatskiy,53.05,158.65,57.2,58,83,13.42,1591750647
358,Port Lincoln,-34.73,135.87,54.97,43,0,5.5,1591750647
359,Kutum,14.2,24.67,70.54,75,95,18.7,1591750647
360,Zharkent,44.16,80.0,66.38,37,85,7.14,1591750647
361,Goderich,43.75,-81.72,73.99,57,100,15.97,1591750648
362,Seydi,39.48,62.91,75.78,19,0,9.04,1591750648
363,Poum,-20.23,164.02,76.53,76,10,16.06,1591750648
364,Flinders,-34.58,150.86,61.0,88,100,1.01,1591750648
365,Malaya Serdoba,52.47,44.95,57.76,81,0,1.74,1591750648
366,Huarmey,-10.07,-78.15,63.79,80,73,4.07,1591750648
367,Makakilo City,21.35,-158.09,86.0,62,75,10.29,1591750648
368,Kīhei,20.79,-156.47,89.6,46,20,20.8,1591750648
369,Stepantsevo,56.13,41.7,56.8,92,0,1.52,1591750649
370,Marang,5.21,103.21,78.8,94,40,6.93,1591750649
371,Maïné Soroa,13.21,12.02,82.02,57,42,18.39,1591750649
372,Taganak,6.08,118.3,77.0,94,20,4.7,1591750649
373,St Albans,51.75,-0.33,57.0,87,20,3.36,1591750649
374,Riyadh,24.69,46.72,89.6,19,0,3.36,1591750535
375,Aberchirder,57.56,-2.63,51.01,88,100,3.0,1591750649
376,Axum,14.12,38.72,65.68,47,100,8.16,1591750650
377,Maltahöhe,-24.83,16.98,50.29,52,0,12.24,1591750650
378,Dali,25.7,100.18,68.86,71,46,4.16,1591750650
379,Severo-Kuril'sk,50.68,156.12,46.96,79,50,15.03,1591750651
380,Brewster,41.4,-73.62,78.8,50,1,9.17,1591750651
381,Laas,46.62,10.7,51.01,100,100,2.93,1591750651
382,Sesquilé,5.05,-73.8,55.4,87,40,4.7,1591750651
383,Castro Alves,-12.77,-39.43,68.79,98,48,3.65,1591750651
384,Villazón,-22.09,-65.59,46.94,41,0,7.52,1591750652
385,Rabo de Peixe,37.8,-25.58,62.6,77,20,2.24,1591750652
386,Hambantota,6.12,81.12,80.6,100,20,11.41,1591750652
387,Alice Springs,-23.7,133.88,57.2,35,0,8.05,1591750519
388,Dickson,36.08,-87.39,82.4,78,75,6.93,1591750652
389,Yar-Sale,66.83,70.83,64.65,71,100,22.39,1591750652
390,Malumfashi,11.79,7.62,77.7,73,100,13.76,1591750652
